group_ID,prob,headcount,members
6OT8R,0.00516,48,"259,708,514,97,321,743,984,968,542,626,851,183,909,0,250,531,60,134,899,894,273,100,342,117,405,594,490,355,374,399,418,629,560,552,86,582,598,933,943,469,998,624,792,369,370,335,414,568"
RIL5Y,0.01137,63,"332,199,696,427,267,786,890,523,896,163,56,358,144,882,149,319,860,473,868,365,721,725,667,407,669,532,456,760,228,495,32,477,114,580,821,862,416,10,70,504,107,710,73,817,681,246,526,958,914,865,982,230,975,511,223,305,633,127,139,756,383,334,347"
NF0WU,0.22409,2,"832,959"
A8SD5,0.01409,28,"462,12,232,175,988,904,157,87,836,676,859,190,831,513,439,141,588,206,131,602,472,364,212,604,772,647,709,947"
P0YC9,0.00309,42,"480,80,687,111,717,328,963,887,181,698,240,382,475,774,42,74,323,154,978,631,244,208,519,571,926,712,897,491,853,768,167,226,428,415,274,92,875,488,829,711,403,90"
HBWFX,0.00079,87,"934,479,502,850,600,690,125,977,937,332,199,696,427,267,786,890,523,896,163,56,358,144,882,149,319,860,473,868,365,721,725,667,407,669,532,456,760,228,495,32,477,114,580,821,862,416,10,70,504,107,710,73,817,681,246,526,958,914,865,982,230,975,511,223,305,633,127,139,756,383,334,347,29,15,156,148,948,255,338,288,773,918,231,787,578,662,931"
PCNF2,0.10333,4,"558,436,953,116"
L0E28,0.00396,91,"928,807,731,550,283,202,730,653,310,234,659,699,912,431,995,215,533,367,724,905,299,263,390,66,884,25,919,49,965,368,722,893,627,800,331,7,673,844,718,870,680,372,145,46,83,739,185,685,410,652,366,108,734,855,991,353,251,917,461,985,69,53,942,388,82,671,777,210,412,810,268,45,596,877,406,615,924,480,80,687,111,717,328,963,887,181,698,240,382,475,774"
C9X0E,0.00058,69,"461,985,69,53,942,388,82,671,777,210,412,810,268,45,596,877,406,615,924,480,80,687,111,717,328,963,887,181,698,240,382,475,774,42,74,323,154,978,631,244,208,519,571,926,712,897,491,853,768,167,226,428,415,274,92,875,488,829,711,403,90,440,744,496,595,771,962,751,639"
CGAFK,0.00248,68,"936,398,996,483,150,645,21,520,72,823,284,336,426,470,910,452,262,668,750,309,648,5,248,738,989,640,803,543,346,891,644,540,260,856,237,833,140,907,695,173,733,447,76,54,969,554,458,966,43,638,723,449,745,166,204,661,377,641,854,291,254,665,337,880,697,719,465,535"
K70ID,0.00461,98,"861,106,180,402,755,393,952,178,655,915,611,155,207,898,159,950,549,47,339,936,398,996,483,150,645,21,520,72,823,284,336,426,470,910,452,262,668,750,309,648,5,248,738,989,640,803,543,346,891,644,540,260,856,237,833,140,907,695,173,733,447,76,54,969,554,458,966,43,638,723,449,745,166,204,661,377,641,854,291,254,665,337,880,697,719,465,535,176,44,277,660,999,801,618,59,940,151,348"
GA7VJ,0.00609,62,"646,944,295,128,830,747,761,603,740,525,313,570,607,900,873,265,58,499,657,705,852,325,516,193,380,235,763,794,613,994,400,822,707,120,318,187,411,272,40,395,766,539,684,804,340,61,217,245,693,922,752,191,471,954,384,476,547,314,387,967,805,376"
UWMIF,0.01534,13,"598,933,943,469,998,624,792,369,370,335,414,568,506"
